gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
1,male,1,2,2,20170527205915,20170721044501,543,56,43,204,4,0,0,91,28,6,76,324,0.915024129447388,978
0,unknown,3,3,1,20110301072441,20170731213735,2764,2345,514,722,7,0,0,100,249,183,646,1526,0.661673179614133,477
1,male,1,0,2,20060907204302,20140911191722,57,2927,25,25,0,0,0,3,0,1,3,49,0.800528377424059,664
1,male,1,1,2,20121003144916,20121208180528,104,67,5,66,2,0,0,20,1,2,2,78,1.02771709743701,841
0,unknown,3,1,1,20070311125035,20141106121057,184,2798,27,125,0,0,0,26,10,5,24,112,0.997535302103113,994
1,male,3,3,1,20060526141942,20170914131932,1887,4130,197,510,62,0,0,7,2,31,10,1660,0.661673179614133,477
0,unknown,3,0,1,20130722234149,20130731130629,57,10,7,13,1,0,0,10,0,4,6,37,1.05714931610548,1074
1,unknown,1,3,3,20081105224814,20170818012959,5833,3209,566,376,108,0,0,161,10,9,184,4744,1.48165413798567,1596
1,unknown,1,2,1,20160123152519,20160429205837,230,98,38,31,3,0,0,147,0,8,0,75,0.982449108801872,752
1,male,3,3,1,20070830210519,20171001201135,2917,3686,602,779,153,0,0,29,47,98,55,1984,0.661673179614133,477
0,unknown,3,1,3,20110510155359,20160921112401,160,1962,40,42,0,0,0,36,0,34,28,60,0.594368207936839,493
1,male,3,3,1,20070601022334,20160516012204,8128,3273,1137,1313,10,1,0,382,1515,106,194,3376,0.661673179614133,477
1,male,1,2,3,20080630194517,20170925092536,714,3375,131,276,11,0,0,75,25,49,11,450,0.831953524648453,917
1,unknown,1,1,3,20121008140521,20130403012957,113,178,19,29,3,0,0,22,0,2,2,83,0.594368207936839,493
0,unknown,3,0,2,20101013091609,20150727121854,81,1749,38,34,0,0,0,33,0,0,0,30,0.800528377424059,664
0,unknown,3,0,2,20090926004551,20121201221324,85,1163,23,54,0,0,0,18,0,12,4,49,0.800528377424059,664
1,male,3,1,2,20140228171913,20170621013915,143,1210,50,107,1,2,0,21,1,0,5,108,1.02771709743701,841
1,male,3,3,1,20120727105301,20170923095538,7241,1885,354,4189,8,3,0,91,138,63,2735,4142,0.661673179614133,477
1,male,3,3,3,20070316063858,20160120230708,19178,3233,1107,6584,173,1,0,1236,3849,340,1945,11325,1.48165413798567,1596
1,unknown,1,2,2,20070505231057,20130906033035,258,2317,42,37,0,0,0,11,18,69,33,101,0.915024129447388,978
0,unknown,3,2,0,20160825081947,20170925091535,346,397,92,228,2,0,0,2,1,7,14,321,1.20440316450483,647
1,male,3,2,1,20140215004411,20160928014858,423,957,110,77,4,0,0,10,5,2,11,395,0.982449108801872,752
1,male,3,3,0,20110918120310,20171001105513,12232,2206,1258,2637,25,2,0,2621,1128,433,1394,6152,0.865617488080534,412
1,unknown,1,1,3,20060930233356,20160415105943,117,3486,21,37,17,0,0,26,0,0,1,83,0.594368207936839,493
0,unknown,3,1,1,20140226173449,20140227210322,138,2,2,92,0,0,0,4,4,0,1,114,0.997535302103113,994
0,unknown,3,2,0,20100318152801,20150801015452,339,1963,158,290,2,0,0,1,0,5,0,219,1.20440316450483,647
1,male,1,0,3,20110525190702,20130503172530,59,710,9,6,0,0,0,21,0,6,21,11,0.411985187306913,297
0,unknown,3,0,1,20161020104832,20170520153618,72,213,13,9,0,0,0,54,0,3,7,8,1.05714931610548,1074
1,unknown,1,0,3,20060914185401,20140919121717,64,2928,19,16,1,0,0,6,0,5,2,50,0.411985187306913,297
0,unknown,3,1,0,20161015104345,20170901213900,141,322,43,67,12,0,0,1,1,0,3,136,1.29126262950745,974
0,unknown,3,2,2,20100620185355,20120515124359,364,696,45,58,7,0,0,25,24,3,50,181,0.915024129447388,978
0,unknown,3,0,2,20121125190742,20121228150244,73,34,15,37,4,0,0,13,12,3,3,28,0.800528377424059,664
1,unknown,1,1,3,20090202195132,20150521175945,144,2300,76,87,0,0,0,2,0,0,1,139,0.594368207936839,493
0,unknown,3,2,2,20140531160512,20140721163749,230,52,13,31,3,0,0,112,0,5,4,107,0.915024129447388,978
0,unknown,3,1,2,20160528143857,20160802161025,159,67,21,34,3,0,0,109,2,8,2,38,1.02771709743701,841
1,male,1,0,3,20130407034930,20150610194452,80,795,16,40,1,0,0,24,0,0,0,56,0.411985187306913,297
0,unknown,3,3,1,20120407015838,20170102110708,1543,1732,72,189,35,0,0,17,3,0,14,1477,0.661673179614133,477
2,female,2,2,1,20101201025104,20140106005048,233,1133,30,169,1,0,0,5,0,0,1,227,0.982449108801872,752
1,male,1,1,2,20100307181742,20150114034417,105,1775,8,18,0,0,0,32,0,4,0,59,1.02771709743701,841
2,female,3,0,1,20140812172140,20140901201608,87,21,6,4,1,0,0,7,1,0,1,78,1.05714931610548,1074
1,unknown,1,1,1,20030721183301,20160315155438,101,4622,22,29,12,0,0,2,0,2,0,97,0.997535302103113,994
1,unknown,1,0,3,20070713192928,20170807020316,69,3679,18,6,1,0,0,32,0,0,2,34,0.411985187306913,297
1,unknown,1,0,0,20111122213423,20130418192931,80,514,19,22,0,0,0,3,0,0,0,73,1.86500803160946,1277
0,unknown,3,1,0,20060702031356,20121228125159,216,2372,14,87,1,0,0,2,23,6,4,163,1.29126262950745,974
0,unknown,3,3,0,20150113144816,20160104211605,1697,357,162,358,11,0,0,143,7,6,34,1329,0.865617488080534,412
2,unknown,2,2,1,20100606010207,20120115222008,244,589,70,47,2,0,0,10,1,80,11,140,0.982449108801872,752
1,unknown,1,0,0,20070220190014,20151019162348,67,3164,17,35,0,0,0,3,0,2,4,58,1.86500803160946,1277
0,unknown,3,0,1,20080904103855,20150805102407,58,2527,29,26,0,0,0,2,0,19,3,34,1.05714931610548,1074
0,unknown,3,2,2,20071031222500,20120829222003,666,1765,209,68,5,0,0,10,0,12,30,349,0.915024129447388,978
1,male,3,1,1,20071206193557,20160712203233,146,3142,55,55,1,0,0,40,0,11,1,94,0.997535302103113,994
1,male,3,3,0,20060323215344,20151231220048,1594,3571,253,1234,8,1,0,2,137,51,39,1329,0.865617488080534,412
1,male,1,0,3,20080625222509,20170115193700,88,3127,9,8,4,0,0,34,0,0,1,53,0.411985187306913,297
0,unknown,3,1,1,20070719193023,20160626191312,177,3266,72,100,1,0,0,15,2,21,7,121,0.997535302103113,994
1,male,3,3,2,20110224180809,20170913173137,12937,2394,1045,5384,126,6,0,104,2073,204,1815,4852,1.00522694513289,817
1,male,3,1,1,20090315120352,20160912121754,201,2739,46,50,6,10,0,14,0,3,0,182,0.997535302103113,994
0,unknown,3,1,0,20131209202337,20170729104627,211,1329,26,23,5,0,0,28,0,0,0,183,1.29126262950745,974
0,unknown,3,3,2,20101214054543,20170929210351,3589,2482,667,481,15,0,0,21,3,60,10,2921,1.00522694513289,817
